,0,Solar GIS
2020-05-11,0.21108815534319578,0.163
2020-05-12,0.20608986151204742,0.163
2020-05-13,0.1757140083950023,0.162
2020-05-14,0.19079949635569193,0.162
2020-05-15,0.18684110027880493,0.16
2020-05-16,0.18785635830026676,0.16
2020-05-17,0.18742868436164611,0.159
2020-05-18,0.18014914794673562,
2020-05-19,0.18760321747222372,
2020-05-20,0.19276012198115478,
2020-05-21,0.19526742990900398,0.159
2020-05-22,0.18948514461119725,0.159
2020-05-23,0.19069945092339805,0.16
2020-05-24,0.19220570567415193,0.16699999999999998
2020-05-25,0.1921497094531972,0.16699999999999998
2020-05-26,0.20189259782108698,0.17300000000000001
2020-05-27,0.1868738309074993,0.18
2020-05-28,0.18356971557064092,0.18
2020-05-29,0.17835492083179436,0.18
2020-05-30,0.19022335868200657,0.184
2020-05-31,0.1969084014380742,0.18600000000000003
2020-06-01,0.20042575508863722,0.185
2020-06-02,0.20828248988398085,0.185
2020-06-03,0.21256757546159605,0.185
2020-06-04,0.2096297994601507,0.185
2020-06-05,0.19585026122963298,0.192
2020-06-06,0.20428115005352818,0.192
2020-06-07,0.21100807473375827,0.193
2020-06-08,0.213953478499835,0.192
2020-06-09,0.1850720837357165,0.19
2020-06-10,0.209064775346195,0.19
2020-06-11,0.21864857130557558,0.18899999999999997
2020-06-12,0.21959322915063206,0.19
2020-06-13,0.22067324468161675,0.18899999999999997
2020-06-14,0.2199673611451493,0.18899999999999997
2020-06-15,0.2260142922326008,0.18899999999999997
2020-06-16,0.22385248367317742,0.18899999999999997
2020-06-17,0.22356843071974983,0.18899999999999997
2020-06-18,0.22293529224308287,0.18899999999999997
2020-06-19,0.22397725893615708,0.188
2020-06-20,0.2266032416566525,0.188
2020-06-21,0.21285415342386696,0.184
2020-06-22,0.2130488102534891,0.184
2020-06-23,0.2008859646342083,0.18100000000000002
2020-06-24,0.20817826544654444,0.185
2020-06-25,0.20901657520156564,0.18100000000000002
2020-06-26,0.21009139755211784,0.18100000000000002
2020-06-27,0.20356469661204313,0.179
2020-06-28,0.1773129417858672,0.177
2020-06-29,0.17888632929179513,0.184
2020-06-30,0.17638479349635477,0.184
2020-07-01,0.18117726392333658,0.187
2020-07-02,0.18816581865561197,0.195
2020-07-03,0.19423238083026403,0.195
2020-07-04,0.19446183762740155,0.193
2020-07-05,0.1960441832828245,0.185
2020-07-06,0.1902157499538898,0.185
2020-07-07,0.19552115756215785,0.183
2020-07-08,0.19586359990914276,0.183
2020-07-09,0.19448629424366382,0.183
2020-07-10,0.20068579259564723,0.175
2020-07-11,0.19796516811582185,0.177
2020-07-12,0.18818300499868867,0.177
2020-07-13,0.18812514959515245,0.177
2020-07-14,0.18930748036499714,0.177
2020-07-15,0.19589166014231946,0.175
2020-07-16,0.19579749742986172,0.175
2020-07-17,0.1882556880463892,0.175
2020-07-18,0.195140292935913,0.177
2020-07-19,0.20224850863256588,0.177
2020-07-20,0.20207976899254718,0.177
2020-07-21,0.20279654439020262,0.177
2020-07-22,0.17672933962166287,0.177
2020-07-23,0.18031460243733072,0.172
2020-07-24,0.18176917192547534,0.172
2020-07-25,0.18350614788467223,0.17300000000000001
2020-07-26,0.18518990418266792,0.17800000000000002
2020-07-27,0.1814967911639419,0.17800000000000002
2020-07-28,0.1793828082834609,0.175
2020-07-29,0.18616435087878777,0.177
2020-07-30,0.13813929212436232,0.179
2020-07-31,0.15906866375420484,0.179
2020-08-01,0.15118323931292152,0.17800000000000002
2020-08-02,0.16783257141295355,0.179
2020-08-03,0.17070298182379515,0.179
2020-08-04,0.17761128431761752,0.179
2020-08-05,0.18101202120048104,0.179
2020-08-06,0.18284790445009216,0.179
2020-08-07,0.18522375772628347,0.17800000000000002
2020-08-08,0.18737294589008968,0.17800000000000002
2020-08-09,0.1741941837071594,0.17800000000000002
2020-08-10,0.1822201746859314,0.18
2020-08-11,0.1683685769423256,0.18
2020-08-12,,0.18
2020-08-13,,0.18
2020-08-14,,0.179
2020-08-15,,0.179
2020-08-16,,0.18
2020-08-17,,0.184
2020-08-18,,0.184
2020-08-19,,0.184
2020-08-20,,0.184
2020-08-21,,0.185
2020-08-22,,0.185
2020-08-23,0.19199085819235231,0.185
2020-08-24,0.19042714563500499,0.185
2020-08-25,0.1987193148136228,0.185
2020-08-26,0.19934531114699527,0.184
2020-08-27,0.19544947051928135,0.184
2020-08-28,0.19479385610347524,0.18600000000000003
2020-08-29,0.19467113177742776,0.18
2020-08-30,0.19931003071813513,0.179
2020-08-31,0.20384957973863863,0.179
2020-09-01,0.196451677423821,0.175
2020-09-02,0.18313564069944713,0.172
2020-09-03,0.18215615430169504,0.171
2020-09-04,0.18989665824019872,0.171
2020-09-05,0.1911067101727629,0.171
2020-09-06,0.19584375103649154,0.171
2020-09-07,0.20467830674962384,0.16399999999999998
2020-09-08,0.20771011754166074,0.161
2020-09-09,0.20898492076006311,0.161
2020-09-10,0.2084022401640088,0.161
2020-09-11,0.20657524722358406,0.17
2020-09-12,0.20703021543722155,0.165
2020-09-13,0.21864336753059266,0.166
2020-09-14,0.21245841149077588,0.168
2020-09-15,0.2307053312038994,0.16899999999999998
2020-09-16,0.22313539102799926,0.16899999999999998
2020-09-17,0.21999943405573502,0.16899999999999998
2020-09-18,0.22015258439741658,0.172
2020-09-19,0.22125342604590176,0.172
2020-09-20,0.2210877322707122,0.172
2020-09-21,0.22008487985541725,0.172
2020-09-22,0.21940673151538465,0.17300000000000001
2020-09-23,0.21768949003493152,0.175
2020-09-24,0.20958336163841723,0.17600000000000002
2020-09-25,0.21469388986875784,0.17600000000000002
2020-09-26,0.21746271629938307,0.17600000000000002
2020-09-27,0.21551481433403832,0.175
2020-09-28,0.18981456552411216,0.17600000000000002
2020-09-29,0.20005734474146694,0.177
2020-09-30,0.21038017188651298,0.17600000000000002
2020-10-01,3.6,0.17600000000000002
